Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Australia,A1,27/10/06,New Zealand Knights,Melbourne Victory,0,4
Australia,A1,28/10/06,Brisbane Roar,Central Coast Mariners,1,1
Australia,A1,29/10/06,Sydney FC,Perth Glory,1,1
Australia,A1,03/11/06,Melbourne Victory,Central Coast Mariners,3,3
Australia,A1,04/11/06,Newcastle Jets,Sydney FC,1,1
Australia,A1,05/11/06,Adelaide United,Perth Glory,3,2
Australia,A1,05/11/06,New Zealand Knights,Brisbane Roar,1,0
Australia,A1,09/11/06,Melbourne Victory,Perth Glory,1,0
Australia,A1,10/11/06,Sydney FC,New Zealand Knights,4,0
Australia,A1,11/11/06,Brisbane Roar,Adelaide United,0,1
Australia,A1,12/11/06,Newcastle Jets,Central Coast Mariners,3,1
Australia,A1,17/11/06,Brisbane Roar,Melbourne Victory,0,2
Australia,A1,18/11/06,Perth Glory,Newcastle Jets,2,1
Australia,A1,19/11/06,New Zealand Knights,Central Coast Mariners,0,2
Australia,A1,19/11/06,Sydney FC,Adelaide United,2,1
Australia,A1,24/11/06,Sydney FC,Brisbane Roar,3,0
Australia,A1,25/11/06,Central Coast Mariners,Adelaide United,2,0
Australia,A1,26/11/06,Perth Glory,New Zealand Knights,4,1
Australia,A1,26/11/06,Melbourne Victory,Newcastle Jets,0,1
Australia,A1,01/12/06,Adelaide United,Melbourne Victory,1,3
Australia,A1,02/12/06,Brisbane Roar,Perth Glory,1,0
Australia,A1,03/12/06,Central Coast Mariners,Sydney FC,0,0
Australia,A1,03/12/06,New Zealand Knights,Newcastle Jets,1,1
Australia,A1,07/12/06,Brisbane Roar,Newcastle Jets,0,3
Australia,A1,08/12/06,Melbourne Victory,Sydney FC,0,0
Australia,A1,10/12/06,Adelaide United,New Zealand Knights,1,1
Australia,A1,10/12/06,Central Coast Mariners,Perth Glory,1,0
Australia,A1,14/12/06,Sydney FC,Perth Glory,1,0
Australia,A1,15/12/06,Adelaide United,Newcastle Jets,3,2
Australia,A1,16/12/06,Central Coast Mariners,Brisbane Roar,2,3
Australia,A1,17/12/06,Melbourne Victory,New Zealand Knights,4,0
Australia,A1,28/12/06,Perth Glory,Adelaide United,0,0
Australia,A1,29/12/06,New Zealand Knights,Brisbane Roar,3,1
Australia,A1,31/12/06,Central Coast Mariners,Melbourne Victory,1,2
Australia,A1,01/01/07,Newcastle Jets,Sydney FC,0,2
Australia,A1,04/01/07,Adelaide United,Brisbane Roar,0,1
Australia,A1,05/01/07,Newcastle Jets,Central Coast Mariners,1,0
Australia,A1,07/01/07,Perth Glory,Melbourne Victory,2,2
Australia,A1,07/01/07,Sydney FC,New Zealand Knights,0,1
Australia,A1,11/01/07,Central Coast Mariners,New Zealand Knights,0,0
Australia,A1,12/01/07,Melbourne Victory,Brisbane Roar,1,2
Australia,A1,14/01/07,Perth Glory,Newcastle Jets,3,3
Australia,A1,14/01/07,Adelaide United,Sydney FC,1,0
Australia,A1,19/01/07,Newcastle Jets,Melbourne Victory,4,0
Australia,A1,20/01/07,Brisbane Roar,Sydney FC,1,1
Australia,A1,21/01/07,Central Coast Mariners,Adelaide United,1,3
Australia,A1,21/01/07,New Zealand Knights,Perth Glory,2,0
Australia,A1,26/01/07,Sydney FC,Newcastle Jets,2,1
Australia,A1,28/01/07,Adelaide United,Melbourne Victory,0,0
Australia,A1,02/02/07,Newcastle Jets ,Sydney FC,2,0
Australia,A1,04/02/07,Melbourne Victory ,Adelaide United,2,1
Australia,A1,11/02/07,Adelaide United ,Newcastle Jets,2,1
Australia,A1,18/02/07,Melbourne Victory ,Adelaide United,6,0
Australia,A1,24/08/07,Sydney FC,Central Coast Mariners,0,1
Australia,A1,25/08/07,Brisbane Roar,Adelaide United,2,2
Australia,A1,26/08/07,Perth Glory,Newcastle Jets,0,0
Australia,A1,26/08/07,Wellington Phoenix,Melbourne Victory,2,2
Australia,A1,31/08/07,Central Coast Mariners,Wellington Phoenix,3,0
Australia,A1,01/09/07,Melbourne Victory,Perth Glory,0,0
Australia,A1,01/09/07,Sydney FC,Adelaide United,2,2
Australia,A1,02/09/07,Newcastle Jets,Brisbane Roar,1,1
Australia,A1,06/09/07,Brisbane Roar,Central Coast Mariners,0,1
Australia,A1,07/09/07,Adelaide United,Melbourne Victory,1,1
Australia,A1,09/09/07,Perth Glory,Sydney FC,0,0
Australia,A1,09/09/07,Wellington Phoenix,Newcastle Jets,0,1
Australia,A1,14/09/07,Sydney FC,Wellington Phoenix,1,2
Australia,A1,15/09/07,Newcastle Jets,Adelaide United,1,0
Australia,A1,16/09/07,Perth Glory,Brisbane Roar,1,2
Australia,A1,16/09/07,Melbourne Victory,Central Coast Mariners,0,0
Australia,A1,21/09/07,Newcastle Jets,Melbourne Victory,2,2
Australia,A1,22/09/07,Brisbane Roar,Sydney FC,0,1
Australia,A1,22/09/07,Wellington Phoenix,Adelaide United,2,2
Australia,A1,23/09/07,Central Coast Mariners,Perth Glory,1,0
Australia,A1,28/09/07,Melbourne Victory,Brisbane Roar,2,0
Australia,A1,29/09/07,Sydney FC,Newcastle Jets,1,0
Australia,A1,30/09/07,Adelaide United,Central Coast Mariners,2,1
Australia,A1,30/09/07,Wellington Phoenix,Perth Glory,4,1
Australia,A1,05/10/07,Brisbane Roar,Wellington Phoenix,2,1
Australia,A1,06/10/07,Sydney FC,Melbourne Victory,0,1
Australia,A1,07/10/07,Perth Glory,Adelaide United,0,0
Australia,A1,07/10/07,Central Coast Mariners,Newcastle Jets,1,1
Australia,A1,12/10/07,Perth Glory,Sydney FC,3,3
Australia,A1,12/10/07,Adelaide United,Melbourne Victory,4,1
Australia,A1,14/10/07,Central Coast Mariners,Brisbane Roar,0,1
Australia,A1,14/10/07,Newcastle Jets,Wellington Phoenix,2,1
Australia,A1,19/10/07,Newcastle Jets,Brisbane Roar,1,1
Australia,A1,20/10/07,Sydney FC,Adelaide United,0,1
Australia,A1,21/10/07,Melbourne Victory,Perth Glory,2,1
Australia,A1,21/10/07,Wellington Phoenix,Central Coast Mariners,1,2
Australia,A1,26/10/07,Melbourne Victory,Newcastle Jets,0,2
Australia,A1,27/10/07,Brisbane Roar,Perth Glory,3,3
Australia,A1,28/10/07,Adelaide United,Wellington Phoenix,4,1
Australia,A1,28/10/07,Sydney FC,Central Coast Mariners,3,2
Australia,A1,02/11/07,Perth Glory,Wellington Phoenix,0,1
Australia,A1,02/11/07,Adelaide United,Brisbane Roar,0,1
Australia,A1,03/11/07,Newcastle Jets,Sydney FC,0,1
Australia,A1,04/11/07,Central Coast Mariners,Melbourne Victory,2,1
Australia,A1,09/11/07,Newcastle Jets,Perth Glory,1,4
Australia,A1,10/11/07,Central Coast Mariners,Adelaide United,2,0
Australia,A1,10/11/07,Melbourne Victory,Sydney FC,0,0
Australia,A1,11/11/07,Brisbane Roar,Wellington Phoenix,3,0
Australia,A1,16/11/07,Brisbane Roar,Melbourne Victory,1,0
Australia,A1,17/11/07,Wellington Phoenix,Sydney FC,1,1
Australia,A1,18/11/07,Perth Glory,Central Coast Mariners,0,1
Australia,A1,18/11/07,Adelaide United,Newcastle Jets,1,1
Australia,A1,23/11/07,Adelaide United,Perth Glory,1,1
Australia,A1,24/11/07,Melbourne Victory,Wellington Phoenix,1,1
Australia,A1,25/11/07,Sydney FC,Brisbane Roar,0,0
Australia,A1,25/11/07,Newcastle Jets,Central Coast Mariners,0,0
Australia,A1,30/11/07,Brisbane Roar,Newcastle Jets,0,1
Australia,A1,30/11/07,Wellington Phoenix,Adelaide United,1,2
Australia,A1,02/12/07,Perth Glory,Melbourne Victory,3,1
