Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
SaudiArabia,SPL,12/10/01,Al Najma,Al Ahli SC,0,1
SaudiArabia,SPL,12/10/01,Al Nasr Riyadh,Al Taee,2,1
SaudiArabia,SPL,13/10/01,Al Shabab,Al Ansar,1,1
SaudiArabia,SPL,15/10/01,Al-Ettifaq,Al-Ittihad FC,1,3
SaudiArabia,SPL,18/10/01,Al Ansar,Al Riyadh,0,2
SaudiArabia,SPL,18/10/01,Al Wehda,Al Nasr Riyadh,0,1
SaudiArabia,SPL,18/10/01,Al-Ettifaq,Al Ahli SC,0,4
SaudiArabia,SPL,18/10/01,Al-Ittihad FC,Al Taee,4,1
SaudiArabia,SPL,19/10/01,Al-Hilal,Al Shabab,1,0
SaudiArabia,SPL,19/10/01,Al-Shoalah,Al Najma,2,0
SaudiArabia,SPL,24/10/01,Al Ahli SC,Al-Ittihad FC,1,2
SaudiArabia,SPL,24/10/01,Al Najma,Al-Hilal,0,0
SaudiArabia,SPL,24/10/01,Al-Shoalah,Al Riyadh,3,3
SaudiArabia,SPL,26/10/01,Al Shabab,Al Nasr Riyadh,0,3
SaudiArabia,SPL,26/10/01,Al-Shoalah,Al-Ettifaq,3,1
SaudiArabia,SPL,27/10/01,Al Ansar,Al Ahli SC,1,0
SaudiArabia,SPL,27/10/01,Al Riyadh,Al-Hilal,2,2
SaudiArabia,SPL,27/10/01,Al Taee,Al Wehda,0,2
SaudiArabia,SPL,27/10/01,Al-Ittihad FC,Al Najma,4,0
SaudiArabia,SPL,01/11/01,Al Ahli SC,Al-Hilal,2,4
SaudiArabia,SPL,01/11/01,Al Nasr Riyadh,Al Riyadh,0,1
SaudiArabia,SPL,01/11/01,Al Wehda,Al-Ittihad FC,0,4
SaudiArabia,SPL,01/11/01,Al-Ettifaq,Al Najma,3,2
SaudiArabia,SPL,02/11/01,Al Taee,Al Shabab,1,2
SaudiArabia,SPL,02/11/01,Al-Shoalah,Al Ansar,2,1
SaudiArabia,SPL,05/11/01,Al Nasr Riyadh,Al-Ittihad FC,1,1
SaudiArabia,SPL,05/11/01,Al Taee,Al-Hilal,0,4
SaudiArabia,SPL,06/11/01,Al Ahli SC,Al Riyadh,3,0
SaudiArabia,SPL,08/11/01,Al Riyadh,Al Taee,3,2
